2026-06-08 21:05:27 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:05:27 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:05:27 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:05:38 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:05:41 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:05:42 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:05:43 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:05:44 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:05:45 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:05:45 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:05:45 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:05:47 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:05:51 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:05:55 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:05:55 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:05:55 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:06:03 | admin | READ | aws | nano-iaas-raw | 6 registros
2026-06-08 21:06:07 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:06:07 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:06:07 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:07:49 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:07:49 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:07:49 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:07:51 | admin | READ | azure | nano-iaas-backups | 0 registros
2026-06-08 21:07:54 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:07:56 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:07:56 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:07:56 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:07:57 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:07:59 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:07:59 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:07:59 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:08:00 | admin | READ | azure | nano-iaas-logs | 0 registros
2026-06-08 21:08:02 | admin | READ | azure | nano-iaas-backups | 0 registros
2026-06-08 21:08:04 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:08:22 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:08:22 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:08:22 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:08:29 | admin | READ | azure | nano-iaas-logs | 0 registros
2026-06-08 21:08:41 | admin | READ | azure | nano-iaas-backups | 0 registros
2026-06-08 21:08:58 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:09:00 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:09:04 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:09:06 | admin | READ | azure | nano-iaas-logs | 0 registros
2026-06-08 21:09:07 | admin | READ | azure | nano-iaas-logs | 0 registros
2026-06-08 21:09:08 | admin | READ | azure | nano-iaas-backups | 0 registros
2026-06-08 21:09:12 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:09:14 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:09:28 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:09:30 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:09:38 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:09:39 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:09:42 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:09:43 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:09:43 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:09:44 | admin | READ | aws | nano-iaas-raw | 6 registros
2026-06-08 21:09:48 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:09:49 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:09:53 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:09:54 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:10:14 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:10:14 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:10:14 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:11:42 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:11:42 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:11:42 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:12:11 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:12:19 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:12:19 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:12:19 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:12:25 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:12:25 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:12:25 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:12:29 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:12:29 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:12:29 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:12:33 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:13:01 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:01 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:13:01 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:13:03 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:13:06 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:06 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:13:06 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:13:07 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:13:10 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:13:11 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:13:13 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:13 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:13:13 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:13:15 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:13:17 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:13:30 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:32 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:13:34 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:34 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:13:34 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:13:35 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:13:39 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:13:39 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:13:39 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:40 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:13:45 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:46 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:13:47 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:13:52 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:14:06 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:14:07 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:14:09 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:14:10 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:14:11 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:14:12 | admin | READ | gcp | nano-iaas-dev | 6 registros
